# cpu,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
# logical_cores,8
# ram_gb,7.75
# compiler,MSVC 1944
# build,Release/RelWithDebInfo (NDEBUG)
# timestamp,2026-08-27T11:17:56
case_id,scramble,scramble_length,known_optimal,config,solver,heuristic,order_moves,threads,time_limit_ms,solution_length,milliseconds,nodes_expanded,nodes_generated,nodes_pruned,moves_skipped,iterations,initial_heuristic,final_threshold,proven_lower_bound,peak_memory_bytes,status,verified
d11-2,L2 U' F2 D L D' L B' R' F L2,11,11,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,11,1.696,350,4672,4323,1548,2,10,11,11,359161856,optimal,1
d11-3,D F R2 B R F' B U2 D' F' U,11,11,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,11,2.089,425,5578,5156,1971,4,8,11,11,359161856,optimal,1
d12-0,B U B D B' D' B2 R2 F2 L' U B,12,12,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,12,38.655,8099,108192,100096,37515,4,9,12,12,359161856,optimal,1
d12-1,L2 B L B' D' F' D2 F' B' U B U',12,12,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,12,13.415,2257,30115,27861,10431,4,9,12,12,359161856,optimal,1
d12-2,B D2 L B' D2 B' L2 F' L U' R' B',12,12,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,12,39.979,7060,94413,87356,32595,4,9,12,12,359161856,optimal,1
d12-3,D2 F L B2 R L' B' L2 U2 D2 B' R',12,12,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,12,27.073,6509,86843,80338,30237,5,8,12,12,359161856,optimal,1
d13-0,R' U' L2 F D2 R D' R2 U' L F L2 D',13,13,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,13,202.769,41414,553588,512178,191739,5,9,13,13,359161856,optimal,1
d13-1,R F D R L B' L2 F' B' D2 B' D' R',13,13,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,13,116.781,22207,296293,274090,103341,5,9,13,13,359161856,optimal,1
d13-2,U' R2 B L' F2 D' L U L' B2 U F2 B,13,13,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,13,261.463,57176,764298,707126,264768,5,9,13,13,359161856,optimal,1
d13-3,B R F R2 B' D' B' L' U R' B D2 F,13,13,ida-max-of-four-inv,korf-ida*,max of 4 + inverse,0,1,300000,13,198.412,42462,565710,523252,198510,5,9,13,13,359161856,optimal,1
