# cpu,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
# logical_cores,8
# ram_gb,7.75
# compiler,MSVC 1944
# build,Release/RelWithDebInfo (NDEBUG)
# timestamp,2026-08-27T11:18:22
case_id,scramble,scramble_length,known_optimal,config,solver,heuristic,order_moves,threads,time_limit_ms,solution_length,milliseconds,nodes_expanded,nodes_generated,nodes_pruned,moves_skipped,iterations,initial_heuristic,final_threshold,proven_lower_bound,peak_memory_bytes,status,verified
d8-2,U' R2 D2 R' U2 L2 U B',8,6,ida-4-thread,korf-ida*,max of 3 PDBs,0,4,300000,6,0.263,6,43,37,9,1,6,6,6,103870464,optimal,1
d8-3,R' B' D' B D B' U2 D',8,8,ida-4-thread,korf-ida*,max of 3 PDBs,0,4,300000,8,0.529,10,94,85,30,2,7,8,8,103870464,optimal,1
d10-0,F' B' U' D L' F D' F B2 U2,10,10,ida-4-thread,korf-ida*,max of 3 PDBs,0,4,300000,10,1.149,147,1957,1812,606,3,8,10,10,103870464,optimal,1
d10-1,U' B2 D' F' B2 D L' U' B2 U,10,10,ida-4-thread,korf-ida*,max of 3 PDBs,0,4,300000,10,1.004,138,1780,1644,624,3,8,10,10,103870464,optimal,1
d10-2,F2 B' U2 R' D F2 R' L2 F2 B,10,10,ida-4-thread,korf-ida*,max of 3 PDBs,0,4,300000,10,1.677,235,3085,2852,1065,3,8,10,10,103870464,optimal,1
d10-3,R D2 R L2 B L F L2 B2 D,10,10,ida-4-thread,korf-ida*,max of 3 PDBs,0,4,300000,10,1.348,366,4874,4509,1662,2,9,10,10,103870464,optimal,1
d11-0,B' L D' R2 B2 U L' B U2 R B',11,11,ida-4-thread,korf-ida*,max of 3 PDBs,0,4,300000,11,4.108,1517,20192,18677,7038,3,9,11,11,103870464,optimal,1
d11-1,R D2 B2 L D R' B' R2 F2 L2 B',11,11,ida-4-thread,korf-ida*,max of 3 PDBs,0,4,300000,11,3.833,3005,40263,37260,13755,3,9,11,11,103874560,optimal,1
d11-2,L2 U' F2 D L D' L B' R' F L2,11,11,ida-4-thread,korf-ida*,max of 3 PDBs,0,4,300000,11,2.173,1341,17962,16622,6099,2,10,11,11,103874560,optimal,1
d11-3,D F R2 B R F' B U2 D' F' U,11,11,ida-4-thread,korf-ida*,max of 3 PDBs,0,4,300000,11,2.956,1290,16991,15705,6129,5,7,11,11,103874560,optimal,1
